adolescence,Jugend,1
love,Liebe,1
relationship,Beziehung,1
unrequited love,Unerwiederte Liebe,2
mutual,Gegenseitig,1
looks,Aussehen,1
manner,Art,1
daunting,entmutigen,1
wisdom,Weisheit,1
humility,Bescheidenheit,1
commitment,Engagement,2
trustworthiness,Vertrauenswürdigkeit,2
courage,Mut,1
peer,Gleichaltrige,1
transition,Übergang,1
fostering,Pflege,1
surrogate,Ersatz,1
to patch things up, einen Streit beilegen,3
to enjoy somebodys company,gerne mit jemandem zusammen sein,4
to ask somebody out,sich mit jemandem verabreden,3